Header,HeaderPin,MCU_Pin,Signal
J2,1,1,+3V3
J2,2,2,PC13
J2,3,3,LSE_IN
J2,4,4,LSE_OUT
J2,5,5,HSE_IN
J2,6,6,HSE_OUT
J2,7,7,NRST
J2,8,8,PC0
J2,9,9,PC1
J2,10,10,PC2
J2,11,11,PC3
J2,12,12,PA0
J2,13,13,PA1
J2,14,14,PA2
J2,15,15,GND
J2,16,16,+3V3
J3,1,17,PA3
J3,2,18,PA4
J3,3,19,LED_A
J3,4,20,PA6
J3,5,21,PA7
J3,6,22,PC4
J3,7,23,PC5
J3,8,24,PB0
J3,9,25,PB1
J3,10,26,PB2
J3,11,27,GND
J3,12,28,+3V3A
J3,13,29,+3V3A
J3,14,30,PB10
J3,15,31,GND
J3,16,32,+3V3
J4,1,48,+3V3
J4,2,47,GND
J4,3,46,USB_DP
J4,4,45,USB_DM
J4,5,44,PA10
J4,6,43,PA9
J4,7,42,PA8
J4,8,41,PC9
J4,9,40,PC8
J4,10,39,PC7
J4,11,38,PC6
J4,12,37,PB15
J4,13,36,PB14
J4,14,35,PB13
J4,15,34,PB12
J4,16,33,PB11
J5,1,64,+3V3
J5,2,63,GND
J5,3,62,PB9
J5,4,61,BOOT0
J5,5,60,PB7
J5,6,59,PB6
J5,7,58,PB5
J5,8,57,PB4
J5,9,56,SWO
J5,10,55,PD2
J5,11,54,PC12
J5,12,53,PC11
J5,13,52,PC10
J5,14,51,PA15
J5,15,50,SWCLK
J5,16,49,SWDIO
