Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",142.100000,-107.900000,45.000000,bottom
"C2","100nF","C_0402_1005Metric",157.900000,-107.900000,-45.000000,bottom
"C3","100nF","C_0402_1005Metric",157.900000,-92.100000,45.000000,bottom
"C4","100nF","C_0402_1005Metric",142.100000,-92.100000,-45.000000,bottom
"C5","4.7uF","C_0805_2012Metric",138.000000,-112.000000,-135.000000,bottom
"C6","100nF","C_0603_1608Metric",185.000000,-116.500000,0.000000,bottom
"C7","10uF","C_0805_2012Metric",185.000000,-109.500000,0.000000,bottom
"C8","10uF","C_0805_2012Metric",185.000000,-113.000000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",163.800000,-113.800000,-45.000000,bottom
"C10","1uF","C_0603_1608Metric",166.600000,-116.600000,-45.000000,bottom
"C13","12pF","C_0402_1005Metric",143.140000,-90.530000,0.000000,bottom
"C14","12pF","C_0402_1005Metric",143.140000,-94.230000,0.000000,bottom
"C15","6.8pF","C_0402_1005Metric",143.140000,-84.850000,0.000000,bottom
"C16","6.8pF","C_0402_1005Metric",143.140000,-87.350000,0.000000,bottom
"C17","100nF","C_0402_1005Metric",124.200000,-93.000000,180.000000,bottom
"R1","5.1k","R_0402_1005Metric",186.600000,-93.550000,0.000000,bottom
"R2","5.1k","R_0402_1005Metric",186.600000,-90.550000,0.000000,bottom
"R3","0R/FB","R_0402_1005Metric",161.200000,-111.200000,135.000000,bottom
"U2","AP2112K-3.3","SOT-23-5",185.000000,-105.300000,0.000000,bottom
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",137.140000,-92.380000,-90.000000,bottom
"Y2","32.768kHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm",137.140000,-86.100000,-90.000000,bottom
"D1","USER","LED_0805_2012Metric",128.400000,-65.200000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",186.350000,-92.300000,90.000000,top
"J2","PORT_L","PinHeader_1x16_P2.54mm_Vertical",127.140000,-80.950000,0.000000,top
"J3","PORT_B","PinHeader_1x16_P2.54mm_Vertical",130.949999,-122.860000,90.000000,top
"J4","PORT_R","PinHeader_1x16_P2.54mm_Vertical",172.860000,-80.950000,0.000000,top
"J5","PORT_T","PinHeader_1x16_P2.54mm_Vertical",130.949999,-77.140000,90.000000,top
"J6","DEBUG","PinHeader_1x10_P2.54mm_Vertical",184.400000,-68.600000,-90.000000,top
"R4","10k","R_0402_1005Metric",155.000000,-70.800000,0.000000,top
"R5","1k","R_0402_1005Metric",131.300000,-65.200000,0.000000,top
"SW1","RESET","SW_SPST_SKQG_WithoutStem",140.000000,-65.200000,180.000000,top
"SW2","BOOT0","SW_SPST_SKQG_WithoutStem",151.500000,-65.200000,180.000000,top
"U1","STM32G474RET6","LQFP-64_10x10mm_P0.5mm",150.000000,-100.000000,0.000000,top
