Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",145.200000,-95.200000,0.000000,bottom
"C2","100nF","C_0402_1005Metric",148.400000,-95.200000,0.000000,bottom
"C3","100nF","C_0402_1005Metric",151.600000,-95.200000,0.000000,bottom
"C4","100nF","C_0402_1005Metric",145.200000,-98.400000,0.000000,bottom
"C5","100nF","C_0402_1005Metric",148.400000,-98.400000,0.000000,bottom
"C6","100nF","C_0402_1005Metric",151.600000,-98.400000,0.000000,bottom
"C7","100nF","C_0402_1005Metric",154.800000,-98.400000,0.000000,bottom
"C8","100nF","C_0402_1005Metric",145.200000,-101.600000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",148.400000,-101.600000,0.000000,bottom
"C10","100nF","C_0402_1005Metric",151.600000,-101.600000,0.000000,bottom
"C11","100nF","C_0402_1005Metric",154.800000,-101.600000,0.000000,bottom
"C50","10uF","C_0805_2012Metric",187.000000,-117.490000,0.000000,bottom
"C51","10uF","C_0805_2012Metric",187.000000,-120.990000,0.000000,bottom
"C52","100nF","C_0603_1608Metric",187.000000,-124.490000,0.000000,bottom
"C60","10pF","C_0402_1005Metric",139.000000,-98.150000,0.000000,bottom
"C61","10pF","C_0402_1005Metric",139.000000,-101.850000,0.000000,bottom
"C62","6.8pF","C_0402_1005Metric",139.000000,-88.750000,0.000000,bottom
"C63","6.8pF","C_0402_1005Metric",139.000000,-91.250000,0.000000,bottom
"C70","100nF","C_0402_1005Metric",131.000000,-111.050000,180.000000,bottom
"C71","1uF","C_0603_1608Metric",131.000000,-108.050000,180.000000,bottom
"C72","2.2uF","C_0603_1608Metric",155.400000,-105.400000,90.000000,bottom
"C73","2.2uF","C_0603_1608Metric",155.400000,-94.600000,180.000000,bottom
"C74","100nF","C_0402_1005Metric",174.000000,-76.000000,45.000000,bottom
"C75","4.7uF","C_0805_2012Metric",126.000000,-76.000000,-45.000000,bottom
"C76","4.7uF","C_0805_2012Metric",174.000000,-124.000000,-135.000000,bottom
"C77","100nF","C_0402_1005Metric",110.800000,-116.000000,180.000000,bottom
"R1","5.1k","R_0402_1005Metric",190.950000,-100.740000,0.000000,bottom
"R2","5.1k","R_0402_1005Metric",190.950000,-97.740000,0.000000,bottom
"R3","0R/FB","R_0402_1005Metric",131.000000,-114.050000,0.000000,bottom
"U2","AP2112K-3.3","SOT-23-5",187.000000,-113.490000,0.000000,bottom
"Y1","25MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",133.000000,-100.000000,-90.000000,bottom
"Y2","32.768kHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm",133.000000,-90.000000,-90.000000,bottom
"D1","USER","LED_0805_2012Metric",134.000000,-137.500000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",188.350000,-99.490000,90.000000,top
"J2","PORT_L","PinHeader_2x18_P2.54mm_Vertical",121.460000,-78.410000,0.000000,top
"J3","PORT_B","PinHeader_2x18_P2.54mm_Vertical",128.410000,-128.539999,90.000000,top
"J4","PORT_R","PinHeader_2x18_P2.54mm_Vertical",176.000000,-78.410000,0.000000,top
"J5","PORT_T","PinHeader_2x18_P2.54mm_Vertical",128.410000,-74.000000,90.000000,top
"J6","SWD","PinHeader_1x04_P2.54mm_Vertical",173.000000,-64.800000,90.000000,top
"R4","10k","R_0402_1005Metric",128.000000,-61.400000,0.000000,top
"R5","1k","R_0402_1005Metric",137.500000,-137.500000,0.000000,top
"SW1","RESET","SW_SPST_SKQG_WithoutStem",121.000000,-134.500000,0.000000,top
"SW2","BOOT0","SW_SPST_SKQG_WithoutStem",120.500000,-65.300000,0.000000,top
"U1","STM32H723ZGT6","LQFP-144_20x20mm_P0.5mm",150.000000,-100.000000,0.000000,top
